state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
CA,06001,Alameda County,136309,617659,769864,-481350,0.177056,0.802296,-0.62524
CA,06003,Alpine County,244,476,741,-232,0.329285,0.642375,-0.31309
CA,06005,Amador County,13585,8153,22302,5432,0.609138,0.365573,0.243566
CA,06007,Butte County,48730,50426,102042,-1696,0.477548,0.494169,-0.016621
CA,06009,Calaveras County,16518,10046,27164,6472,0.608084,0.369828,0.238257
CA,06011,Colusa County,4554,3234,7951,1320,0.572758,0.406741,0.166017
CA,06013,Contra Costa County,152877,416386,581230,-263509,0.263023,0.716388,-0.453364
CA,06015,Del Norte County,6461,4677,11452,1784,0.564181,0.4084,0.155781
CA,06017,El Dorado County,61838,51621,116138,10217,0.532453,0.44448,0.087973
CA,06019,Fresno County,164464,193025,364809,-28561,0.450822,0.529112,-0.07829
CA,06021,Glenn County,7063,3995,11292,3068,0.625487,0.35379,0.271697
CA,06023,Humboldt County,21770,44768,68828,-22998,0.316296,0.650433,-0.334137
CA,06025,Imperial County,20847,34678,56718,-13831,0.367555,0.611411,-0.243856
CA,06027,Inyo County,4620,4634,9481,-14,0.48729,0.488767,-0.001477
CA,06029,Kern County,164484,133366,305226,31118,0.538892,0.436942,0.101951
CA,06031,Kings County,24072,18699,43858,5373,0.548862,0.426353,0.122509
CA,06033,Lake County,13123,14941,28800,-1818,0.45566,0.518785,-0.063125
CA,06035,Lassen County,8970,2799,11985,6171,0.748436,0.233542,0.514894
CA,06037,Los Angeles County,1145530,3028885,4263443,-1883355,0.268687,0.710432,-0.441745
CA,06039,Madera County,29378,23168,53722,6210,0.546852,0.431257,0.115595
CA,06041,Marin County,24612,128288,155801,-103676,0.157971,0.823409,-0.665439
CA,06043,Mariposa County,5950,4088,10280,1862,0.578794,0.397665,0.181128
CA,06045,Mendocino County,13267,28782,43336,-15515,0.306143,0.664159,-0.358016
CA,06047,Merced County,39397,48991,90541,-9594,0.435129,0.541092,-0.105963
CA,06049,Modoc County,3109,1150,4338,1959,0.71669,0.265099,0.451591
CA,06051,Mono County,2513,4013,6737,-1500,0.373015,0.595666,-0.222651
CA,06053,Monterey County,46299,113953,163883,-67654,0.282513,0.695331,-0.412819
CA,06055,Napa County,20676,49817,72122,-29141,0.286681,0.690732,-0.404051
CA,06057,Nevada County,26779,36359,64738,-9580,0.413652,0.561633,-0.147981
CA,06059,Orange County,676498,814009,1521725,-137511,0.44456,0.534925,-0.090365
CA,06061,Placer County,122488,106869,235017,15619,0.521188,0.454729,0.066459
CA,06063,Plumas County,6445,4561,11256,1884,0.572584,0.405206,0.167377
CA,06065,Riverside County,448702,527945,996156,-79243,0.450433,0.529982,-0.079549
CA,06067,Sacramento County,259405,440808,718290,-181403,0.361142,0.613691,-0.252548
CA,06069,San Benito County,10590,17628,28821,-7038,0.36744,0.611637,-0.244197
CA,06071,San Bernardino County,366257,455859,840931,-89602,0.435538,0.542088,-0.106551
CA,06073,San Diego County,600094,964650,1601722,-364556,0.374656,0.602258,-0.227603
CA,06075,San Francisco County,56417,378156,443458,-321739,0.127221,0.852744,-0.725523
CA,06077,San Joaquin County,121098,161137,288443,-40039,0.419833,0.558644,-0.138811
CA,06079,San Luis Obispo County,67436,88310,159681,-20874,0.422317,0.55304,-0.130723
CA,06081,San Mateo County,75563,291410,374138,-215847,0.201966,0.778884,-0.576918
CA,06083,Santa Barbara County,65736,129963,200288,-64227,0.328207,0.648881,-0.320673
CA,06085,Santa Clara County,214612,617967,850522,-403355,0.25233,0.726574,-0.474244
CA,06087,Santa Cruz County,26937,114246,144796,-87309,0.186034,0.789014,-0.602979
CA,06089,Shasta County,60789,30000,92900,30789,0.654349,0.322928,0.331421
CA,06091,Sierra County,1142,730,1930,412,0.59171,0.378238,0.213472
CA,06093,Siskiyou County,13290,9593,23450,3697,0.566738,0.409083,0.157655
CA,06095,Solano County,69306,131639,205831,-62333,0.336713,0.639549,-0.302836
CA,06097,Sonoma County,61825,199938,268252,-138113,0.230474,0.745336,-0.514863
CA,06099,Stanislaus County,104145,105841,214876,-1696,0.484675,0.492568,-0.007893
CA,06101,Sutter County,24375,17367,42640,7008,0.571646,0.407294,0.164353
CA,06103,Tehama County,19141,8911,28721,10230,0.666446,0.310261,0.356185
CA,06105,Trinity County,3188,2851,6258,337,0.509428,0.455577,0.053851
CA,06107,Tulare County,77579,66105,146832,11474,0.528352,0.450208,0.078144
CA,06109,Tuolumne County,17689,11978,30401,5711,0.581856,0.394,0.187856
CA,06111,Ventura County,162207,251388,422698,-89181,0.383742,0.594722,-0.21098
CA,06113,Yolo County,27292,67598,97264,-40306,0.280597,0.694995,-0.414398
CA,06115,Yuba County,17676,11230,29787,6446,0.593413,0.37701,0.216403
OR,41001,Baker County,7352,2346,9932,5006,0.740234,0.236206,0.504027
OR,41003,Benton County,14878,35827,52799,-20949,0.281786,0.678555,-0.396769
OR,41005,Clackamas County,110509,139043,257679,-28534,0.428863,0.539598,-0.110735
OR,41007,Clatsop County,10218,12916,23910,-2698,0.427353,0.540192,-0.11284
OR,41009,Columbia County,17150,13835,32221,3315,0.532262,0.429378,0.102883
OR,41011,Coos County,21829,14243,37075,7586,0.58878,0.384167,0.204612
OR,41013,Crook County,11287,3801,15448,7486,0.730645,0.246051,0.484593
OR,41015,Curry County,8484,6058,14925,2426,0.568442,0.405896,0.162546
OR,41017,Deschutes County,55646,65962,125234,-10316,0.444336,0.52671,-0.082374
OR,41019,Douglas County,43298,19160,64349,24138,0.672862,0.297751,0.375111
OR,41021,Gilliam County,834,324,1178,510,0.70798,0.275042,0.432937
OR,41023,Grant County,3545,929,4596,2616,0.771323,0.202132,0.569191
OR,41025,Harney County,3475,894,4481,2581,0.775497,0.199509,0.575988
OR,41027,Hood River County,3955,8764,13090,-4809,0.302139,0.669519,-0.36738
OR,41029,Jackson County,63869,59478,127165,4391,0.502253,0.467723,0.03453
OR,41031,Jefferson County,7189,4393,11913,2796,0.603458,0.368757,0.234702
OR,41033,Josephine County,31751,18451,51641,13300,0.614841,0.357294,0.257547
OR,41035,Klamath County,25308,10388,36726,14920,0.689103,0.282851,0.406252
OR,41037,Lake County,3470,792,4363,2678,0.795324,0.181526,0.613798
OR,41039,Lane County,80336,134366,222253,-54030,0.361462,0.604563,-0.243101
OR,41041,Lincoln County,12460,17385,30726,-4925,0.40552,0.565807,-0.160288
OR,41043,Linn County,43486,26512,72640,16974,0.598651,0.364978,0.233673
OR,41045,Malheur County,8187,3260,11804,4927,0.693578,0.276178,0.417401
OR,41047,Marion County,79002,80872,165534,-1870,0.477255,0.488552,-0.011297
OR,41049,Morrow County,3586,1371,5118,2215,0.700664,0.267878,0.432786
OR,41051,Multnomah County,82995,367249,463659,-284254,0.179,0.792067,-0.613067
OR,41053,Polk County,23732,22917,48291,815,0.491437,0.47456,0.016877
OR,41055,Sherman County,921,260,1208,661,0.762417,0.215232,0.547185
OR,41057,Tillamook County,8354,8066,16888,288,0.494671,0.477617,0.017054
OR,41059,Umatilla County,21270,10707,33038,10563,0.643804,0.324081,0.319723
OR,41061,Union County,10298,4254,14944,6044,0.689106,0.284663,0.404443
OR,41063,Wallowa County,3404,1625,5149,1779,0.661099,0.315595,0.345504
OR,41065,Wasco County,7035,6604,14130,431,0.497877,0.467374,0.030502
OR,41067,Washington County,99073,209940,320326,-110867,0.309288,0.655395,-0.346107
OR,41069,Wheeler County,711,217,965,494,0.736788,0.22487,0.511917
OR,41071,Yamhill County,29551,27174,58923,2377,0.501519,0.461178,0.040341
WA,53001,Adams County,3907,1814,5862,2093,0.666496,0.309451,0.357045
WA,53003,Asotin County,7319,4250,11951,3069,0.612417,0.355619,0.256799
WA,53005,Benton County,60365,38706,103033,21659,0.58588,0.375666,0.210214
WA,53007,Chelan County,22746,19349,43306,3397,0.525239,0.446797,0.078442
WA,53009,Clallam County,23062,24721,49264,-1659,0.468131,0.501807,-0.033676
WA,53011,Clark County,126303,140324,275403,-14021,0.458612,0.509522,-0.050911
WA,53013,Columbia County,1754,668,2495,1086,0.703006,0.267735,0.435271
WA,53015,Cowlitz County,34424,23938,60280,10486,0.571068,0.397113,0.173955
WA,53017,Douglas County,12955,7811,21308,5144,0.607988,0.366576,0.241412
WA,53019,Ferry County,2771,1486,4367,1285,0.634532,0.340279,0.294252
WA,53021,Franklin County,18039,13340,32404,4699,0.556691,0.411678,0.145013
WA,53023,Garfield County,1069,366,1489,703,0.717931,0.245803,0.472129
WA,53025,Grant County,24764,11819,37680,12945,0.657219,0.313668,0.343551
WA,53027,Grays Harbor County,19877,17354,38441,2523,0.517078,0.451445,0.065633
WA,53029,Island County,22746,29213,53925,-6467,0.421808,0.541734,-0.119926
WA,53031,Jefferson County,6931,17204,24792,-10273,0.279566,0.693934,-0.414368
WA,53033,King County,269167,907310,1210507,-638143,0.222359,0.749529,-0.52717
WA,53035,Kitsap County,61563,90277,158672,-28714,0.387989,0.568954,-0.180965
WA,53037,Kittitas County,14105,11421,26364,2684,0.53501,0.433204,0.101805
WA,53039,Klickitat County,7237,5959,13560,1278,0.533702,0.439454,0.094248
WA,53041,Lewis County,29391,14520,45309,14871,0.648679,0.320466,0.328213
WA,53043,Lincoln County,5150,1713,7033,3437,0.732262,0.243566,0.488696
WA,53045,Mason County,18710,17269,37303,1441,0.501568,0.462939,0.03863
WA,53047,Okanogan County,11840,8900,21282,2940,0.556339,0.418194,0.138145
WA,53049,Pacific County,6953,6794,14064,159,0.494383,0.483077,0.011305
WA,53051,Pend Oreille County,5728,2593,8553,3135,0.669707,0.303168,0.366538
WA,53053,Pierce County,197730,249506,464081,-51776,0.426068,0.537635,-0.111567
WA,53055,San Juan County,3057,9725,13197,-6668,0.231644,0.73691,-0.505266
WA,53057,Skagit County,32762,38252,73423,-5490,0.446209,0.520981,-0.074772
WA,53059,Skamania County,3885,3192,7312,693,0.531318,0.436543,0.094776
WA,53061,Snohomish County,166428,256728,438796,-90300,0.379283,0.585074,-0.20579
WA,53063,Spokane County,148576,135765,295430,12811,0.502914,0.45955,0.043364
WA,53065,Stevens County,19808,7839,28430,11969,0.696729,0.27573,0.420999
WA,53067,Thurston County,65277,96608,168134,-31331,0.388244,0.574589,-0.186345
WA,53069,Wahkiakum County,1741,1165,2981,576,0.584032,0.390808,0.193224
WA,53071,Walla Walla County,16400,13690,31261,2710,0.524615,0.437926,0.086689
WA,53073,Whatcom County,50489,83660,138620,-33171,0.364226,0.60352,-0.239294
WA,53075,Whitman County,9067,11184,21126,-2117,0.429187,0.529395,-0.100208
WA,53077,Yakima County,50555,43179,96193,7376,0.525558,0.448879,0.076679