"","County.FIPS","Number.of.Long.Trips","Recip_County","Recip_State.x","Series_Complete_Pop_Pct","Series_Complete_Yes","County.POP","County_Median_Income","Income_CountyMedian_vs_StateMedian","Recip_State_Median_Income","isRepublican","unemployment_pct_2020","POPESTIMATE_2020","AGE18PLUS_TOT","AGE65PLUS_TOT","MEDIAN_AGE_TOT"
"1","53001",6129,"Adams County","WA",24.1,4819,19996,53535,0.68,78674,"1",7.3,20027,12902,2346,28.2
"2","06001",89244,"Alameda County","CA",37.9,633709,1672055,107589,1.34,80423,"0",8.8,1662323,1327352,245136,38.2
"3","06005",4951,"Amador County","CA",27.9,11076,39699,62640,0.78,80423,"1",9.1,40083,34043,11232,50.3
"4","53003",1839,"Asotin County","WA",22.9,5171,22581,54776,0.7,78674,"1",5.2,22820,18259,5617,46
"5","41001",2477,"Baker County","OR",48.6,7836,16123,48530,0.73,66955,"1",7.2,16284,13062,4417,47.9
"6","41003",7016,"Benton County","OR",35.6,33116,93022,69148,1.03,66955,"0",5.6,93239,78372,16209,33.6
"9","53005",17531,"Benton County","WA",27.2,55515,204099,72847,0.93,78674,"1",8.2,206426,152238,32470,36.2
"10","06007",18442,"Butte County","CA",29.4,64397,219037,58394,0.73,80423,"0",9.2,212744,169806,39082,36.8
"11","06009",6077,"Calaveras County","CA",28.2,12950,45922,68248,0.85,80423,"1",7.6,46308,38486,13402,52.3
"12","53007",7291,"Chelan County","WA",39.7,30616,77118,59838,0.76,78674,"1",8.4,77574,59675,15669,40.2
"13","41005",31466,"Clackamas County","OR",28.7,119862,417638,80539,1.2,66955,"0",7.2,421596,332557,80711,41.7
"14","53009",7130,"Clallam County","WA",43.2,33439,77405,57571,0.73,78674,"0",10.2,78067,65166,24362,51.8
"15","53011",38498,"Clark County","WA",28.6,139479,487689,80407,1.02,78674,"0",8.5,496865,381425,81400,38.8
"16","41007",4352,"Clatsop County","OR",27.9,11216,40201,59339,0.89,66955,"0",9.6,40423,32990,9760,44.8
"17","41009",5611,"Columbia County","OR",24.9,13054,52426,72285,1.08,66955,"1",7.9,52876,42083,10613,43.4
"20","53013",575,"Columbia County","WA",25.6,1021,3988,56338,0.72,78674,"1",7.3,4048,3323,1196,51.2
"21","06011",3071,"Colusa County","CA",24.9,5361,21530,59048,0.73,80423,"1",16,21558,15741,3313,35.5
"22","06013",66475,"Contra Costa County","CA",41.3,476659,1154138,106555,1.33,80423,"0",8.9,1152333,896332,192734,40.2
"23","41011",6281,"Coos County","OR",27.4,17645,64398,49504,0.74,66955,"1",8.6,64711,53059,17779,48.7
"24","53015",18359,"Cowlitz County","WA",29.2,32265,110497,57316,0.73,78674,"1",9.3,111371,86334,21864,41.1
"25","41013",2438,"Crook County","OR",25.3,6182,24435,58739,0.88,66955,"1",8.8,25105,20164,6449,47.1
"26","41015",2460,"Curry County","OR",27.9,6388,22896,51267,0.77,66955,"1",8.7,23305,20012,8307,57.5
"27","06015",2503,"Del Norte County","CA",20.2,5620,27822,48979,0.61,80423,"1",9.5,27968,22176,5323,40.5
"28","41017",16410,"Deschutes County","OR",33.4,66123,197973,71880,1.07,66955,"0",7.9,201769,162357,41955,42.5
"29","41019",13516,"Douglas County","OR",27.5,30508,110938,48940,0.73,66955,"1",7.7,111364,90003,29733,47.3
"32","53017",4471,"Douglas County","WA",32.2,13998,43472,63086,0.8,78674,"1",8.5,43560,32559,8017,38.2
"33","06017",15474,"El Dorado County","CA",31.6,60917,192775,86202,1.07,80423,"1",8.3,192925,155092,43941,46.7
"34","53019",1240,"Ferry County","WA",27.9,2128,7627,47463,0.6,78674,"1",11.5,7759,6504,2309,52.1
"35","53021",10759,"Franklin County","WA",20.3,19359,95365,63575,0.81,78674,"1",9,97075,66167,9793,30.6
"36","06019",83008,"Fresno County","CA",28.4,283708,998972,56926,0.71,80423,"0",11.3,1000918,719907,128421,32.9
"37","53023",287,"Garfield County","WA",18.1,402,2221,54555,0.69,78674,"1",8.4,2290,1832,640,47.7
"38","41021",447,"Gilliam County","OR",26.7,510,1910,61205,0.91,66955,"1",6.1,1975,1580,555,49.8
"39","06021",4658,"Glenn County","CA",26.7,7591,28431,55682,0.69,80423,"1",8.9,28283,20740,4694,36
"40","41023",1036,"Grant County","OR",29.7,2135,7189,49792,0.74,66955,"1",8.3,7180,5892,2287,51.7
"43","53025",17710,"Grant County","WA",25.2,24647,97806,57152,0.73,78674,"1",8.8,99377,70504,14271,33.4
"44","53027",10052,"Grays Harbor County","WA",30.3,22759,75112,59346,0.75,78674,"1",11.7,75950,60608,17452,44.6
"45","41025",2067,"Harney County","OR",27,1993,7381,39874,0.6,66955,"1",5.9,7373,5888,1841,45.1
"46","41027",2444,"Hood River County","OR",44.5,10413,23400,68835,1.03,66955,"0",6.3,23280,17912,3980,39.7
"47","06023",11090,"Humboldt County","CA",30.9,41873,135511,51134,0.64,80423,"0",8.4,134977,109551,25762,39.2
"48","06025",19159,"Imperial County","CA",25.5,46268,181443,48102,0.6,80423,"0",22.5,180267,128871,24546,32.8
"49","53029",6426,"Island County","WA",33.7,28696,85151,72173,0.92,78674,"0",8.3,86014,70624,22248,43.8
"50","41029",16552,"Jackson County","OR",25,55180,220720,56367,0.84,66955,"1",7.8,221844,176826,51164,42.9
"51","41031",2342,"Jefferson County","OR",32.1,7927,24695,52543,0.79,66955,"1",8.2,24856,19089,5004,40.3
"54","53031",1330,"Jefferson County","WA",50.8,16383,32250,60556,0.77,78674,"0",9.4,32700,28875,12787,59.8
"55","41033",7071,"Josephine County","OR",25.9,22632,87382,47533,0.71,66955,"1",7.9,88053,71072,23761,47.6
"56","06029",94950,"Kern County","CA",22.8,204910,898728,53245,0.66,80423,"1",12.5,901362,642982,104230,32.2
"57","53033",117548,"King County","WA",35.6,801222,2250624,102338,1.3,78674,"0",7.5,2274315,1824255,311240,37
"58","06031",14141,"Kings County","CA",18.3,27941,152683,57297,0.71,80423,"1",11.6,152692,111686,16579,32.2
"59","53035",10539,"Kitsap County","WA",31.2,84832,271897,79268,1.01,78674,"0",7.7,272787,218217,51531,39.3
"60","53037",8412,"Kittitas County","WA",29.1,13932,47876,59172,0.75,78674,"1",9,49204,40978,8402,34.8
"61","41035",9726,"Klamath County","OR",25.9,17650,68147,53030,0.79,66955,"1",8.7,68739,53856,15168,41.7
"62","53039",4452,"Klickitat County","WA",28.5,6382,22393,60567,0.77,78674,"1",8.2,22697,18401,5654,47.3
"63","06033",5177,"Lake County","CA",30.7,19747,64322,46897,0.58,80423,"0",9.6,64479,50658,15131,44.8
"66","41037",1651,"Lake County","OR",24.1,1894,7859,47867,0.72,66955,"1",5.6,7949,6430,2085,47.5
"67","41039",35969,"Lane County","OR",33.5,128182,382633,57212,0.85,66955,"0",7.9,382986,314280,78637,40.2
"68","06035",6652,"Lassen County","CA",20,6114,30570,53613,0.67,80423,"1",7.1,30016,24642,4882,37.9
"69","53041",16648,"Lewis County","WA",24.8,20035,80786,58525,0.74,78674,"1",9.4,82109,64495,17766,42.6
"70","41041",4909,"Lincoln County","OR",39.3,19631,49952,52276,0.78,66955,"0",10.9,50583,42429,15508,52.7
"73","53043",2742,"Lincoln County","WA",27.4,3002,10956,60849,0.77,78674,"1",6.8,11090,8720,2961,47.8
"74","41043",17753,"Linn County","OR",25.2,32651,129567,61084,0.91,66955,"1",7.8,131054,102139,25421,40
"75","06037",596013,"Los Angeles County","CA",31.5,3165827,10050244,72721,0.9,80423,"0",12.8,9943046,7843569,1444480,37.4
"76","06039",15328,"Madera County","CA",24.9,39224,157526,61105,0.76,80423,"1",10.8,157761,114677,23092,34.7
"77","41045",4613,"Malheur County","OR",22.9,6992,30533,42019,0.63,66955,"1",5.2,30983,22988,5321,36
"78","06041",10818,"Marin County","CA",51.4,132918,258595,112069,1.39,80423,"0",6.7,257332,207265,60655,47.7
"79","41047",36388,"Marion County","OR",26.8,93047,347190,64058,0.96,66955,"0",6.9,349204,265368,57493,37.1
"80","53045",5404,"Mason County","WA",29.9,19956,66742,63689,0.81,78674,"1",9.8,68224,55019,16269,45.3
"81","06045",7860,"Mendocino County","CA",36.4,31574,86742,52309,0.65,80423,"0",8.9,86061,67896,20420,43.8
"82","06047",43073,"Merced County","CA",19.4,53802,277330,59733,0.74,80423,"0",12.2,279252,198258,32779,31.5
"83","06053",45040,"Monterey County","CA",30.4,131848,433711,76509,0.95,80423,"0",10.8,430906,319499,62634,35.2
"84","41049",2837,"Morrow County","OR",28.5,3305,11596,59781,0.89,66955,"1",5.2,11700,8504,1976,37
"85","41051",43647,"Multnomah County","OR",33.3,270965,813709,72469,1.08,66955,"0",8.6,815637,668469,116360,38
"86","06055",7894,"Napa County","CA",40.7,56039,137688,90230,1.12,80423,"0",8.7,135965,108963,27606,42.4
"87","06057",9930,"Nevada County","CA",32.2,32156,99863,69550,0.87,80423,"0",8,99606,82829,28765,50.7
"88","53047",4145,"Okanogan County","WA",39.1,16502,42205,44777,0.57,78674,"1",9,42620,32916,9791,43.3
"89","06059",159779,"Orange County","CA",33.4,1061987,3179602,95761,1.19,80423,"0",8.8,3166857,2484764,497745,38.9
"90","53049",2542,"Pacific County","WA",32.7,7351,22480,50521,0.64,78674,"1",10.7,22984,19482,7604,54.9
"91","53051",1627,"Pend Oreille County","WA",21.5,2952,13730,51950,0.66,78674,"1",10.7,14144,11421,3863,50.5
"92","53053",54260,"Pierce County","WA",27,244346,904985,78779,1,78674,"0",9.6,913890,702287,131699,36.5
"93","06061",28093,"Placer County","CA",33.4,132874,397826,97688,1.22,80423,"1",7.3,402950,314504,82115,42.4
"94","41053",10508,"Polk County","OR",30,25815,86050,69757,1.04,66955,"1",6.6,87744,68299,16429,37.5
"95","06065",292534,"Riverside County","CA",25.4,628284,2473559,72905,0.91,80423,"0",9.9,2489188,1877534,377582,36.5
"96","06067",129508,"Sacramento County","CA",29.2,452479,1549586,71891,0.89,80423,"0",9.3,1559146,1196506,230866,36.8
"97","06069",11016,"San Benito County","CA",26.1,16409,62870,84209,1.05,80423,"0",9.9,64055,47746,8659,36.3
"98","06071",275380,"San Bernardino County","CA",23.2,505922,2180698,67398,0.84,80423,"0",9.4,2189183,1620713,267911,34
"99","06073",187079,"San Diego County","CA",22.6,755765,3344093,83576,1.04,80423,"0",9.2,3332427,2624813,496393,36.6
"100","06075",44327,"San Francisco County","CA",42.4,373727,881432,121795,1.51,80423,"0",7.8,866606,750021,144152,38.6
"101","06077",106317,"San Joaquin County","CA",23.3,177249,760725,68458,0.85,80423,"0",11.3,767967,563212,102362,34.8
"102","53055",1177,"San Juan County","WA",45.8,8056,17590,69113,0.88,78674,"0",7.9,17492,15310,6212,57.4
"103","06079",21062,"San Luis Obispo County","CA",30.3,85737,282960,76599,0.95,80423,"0",7.7,282249,233054,60460,40.4
"104","06081",38282,"San Mateo County","CA",40.4,309630,766411,135234,1.68,80423,"0",6.9,758308,607222,129480,40.2
"105","06083",32672,"Santa Barbara County","CA",33.3,148575,446171,74530,0.93,80423,"0",8,444766,346389,71442,34.1
"106","06085",101861,"Santa Clara County","CA",35.1,677187,1929308,132444,1.65,80423,"0",7,1907105,1500862,271911,37.6
"107","06087",18102,"Santa Cruz County","CA",36.9,100837,273271,85770,1.07,80423,"0",9.5,269925,219392,48696,38.9
"108","06089",16491,"Shasta County","CA",23.7,42619,179827,61464,0.76,80423,"1",8.7,179027,140508,38146,41.5
"109","41055",461,"Sherman County","OR",31.6,563,1782,60035,0.9,66955,"1",6.1,1801,1454,457,46.7
"110","06093",6276,"Siskiyou County","CA",29.2,12710,43527,45954,0.57,80423,"1",9.7,43245,34508,11611,47.8
"111","53057",14960,"Skagit County","WA",34.9,45108,129249,67551,0.86,78674,"0",9.8,130789,102913,28615,41.7
"112","53059",2405,"Skamania County","WA",21.2,2563,12090,69163,0.88,78674,"1",9.2,12107,9981,2880,48.6
"113","53061",50380,"Snohomish County","WA",30.2,248328,822278,89119,1.13,78674,"0",8.5,830393,645166,119179,38.3
"114","06095",36372,"Solano County","CA",30.4,135993,447345,85704,1.07,80423,"0",9.5,446935,349290,75173,38.7
"115","06097",36306,"Sonoma County","CA",40.3,199395,494777,87084,1.08,80423,"0",7.9,489819,395894,103462,42.9
"116","53063",39754,"Spokane County","WA",29.1,152282,523306,59976,0.76,78674,"1",8.8,528225,413159,89411,37.9
"117","06099",64928,"Stanislaus County","CA",22.9,126233,551236,62761,0.78,80423,"0",10.7,550081,402255,74916,34.5
"118","53065",8714,"Stevens County","WA",18.9,8646,45746,55000,0.7,78674,"1",9.4,46360,36617,11478,47.3
"119","06101",13967,"Sutter County","CA",27,26216,97096,60910,0.76,80423,"1",11,96385,71808,15597,36.5
"120","06103",8132,"Tehama County","CA",20.1,13107,65209,51672,0.64,80423,"1",8.8,64494,49186,13076,40.7
"121","53067",26966,"Thurston County","WA",31.3,90974,290652,77890,0.99,78674,"0",8.3,294074,231875,53507,39.3
"122","41057",3965,"Tillamook County","OR",30.4,8223,27049,52298,0.78,66955,"1",8.1,27442,22357,7515,48.9
"123","06107",52762,"Tulare County","CA",24.7,115177,466304,56776,0.71,80423,"1",13.2,468680,326902,55595,31.7
"124","06109",5124,"Tuolumne County","CA",32.6,17734,54399,64729,0.81,80423,"1",10.4,54515,45343,14909,48.1
"125","41059",10204,"Umatilla County","OR",25,19518,78072,58286,0.87,66955,"1",6.8,77752,58358,12728,36.5
"126","41061",3327,"Union County","OR",24.3,6522,26840,54264,0.81,66955,"1",7.8,26551,20794,5770,39.5
"127","06111",64330,"Ventura County","CA",34.4,291165,846410,91446,1.14,80423,"0",8.6,841387,653832,140361,39
"128","53069",668,"Wahkiakum County","WA",32.3,1449,4486,61123,0.78,78674,"1",8.8,4498,3755,1515,55.3
"129","53071",4665,"Walla Walla County","WA",36.2,21989,60743,60202,0.77,78674,"1",6.9,61292,48516,11763,37.9
"130","41063",1379,"Wallowa County","OR",33.9,2444,7209,52106,0.78,66955,"1",7.1,7181,5814,2168,51
"131","41065",3311,"Wasco County","OR",31.4,8387,26710,56993,0.85,66955,"1",7.1,26403,20659,5609,40.8
"132","41067",35086,"Washington County","OR",28.1,169306,602512,85665,1.28,66955,"0",6.5,603514,469956,85949,37.5
"133","53073",18071,"Whatcom County","WA",35.6,81527,229008,68656,0.87,78674,"0",9.3,231016,187240,42341,37.9
"134","41069",289,"Wheeler County","OR",40.5,540,1333,42747,0.64,66955,"1",4.3,1387,1188,519,58.3
"135","53075",3474,"Whitman County","WA",23.5,11794,50187,45906,0.58,78674,"0",5.9,49500,42111,5542,25.4
"136","53077",28336,"Yakima County","WA",29.4,73865,251241,55674,0.71,78674,"1",9.7,251879,177989,36210,33.1
"137","41071",8843,"Yamhill County","OR",28,30027,107239,71815,1.07,66955,"1",6.8,107664,84469,19889,39.5
"138","06113",19948,"Yolo County","CA",33.7,74337,220585,70951,0.88,80423,"0",7.5,219728,174533,29180,31.6
"139","06115",7902,"Yuba County","CA",19.7,15505,78706,56607,0.7,80423,"1",10.5,80160,58188,10646,33.5
